acc,bac,f1s,seed,Algo
0.8157589803012746,0.8157009968204864,0.8058608058608058,24,SVM
0.7334878331402086,0.7334149694938559,0.7153465346534653,24,MLP
0.660486674391657,0.6607346180287016,0.720152817574021,25,KNN
0.7346465816917729,0.7347066469021225,0.7475192943770672,25,NB
0.7184241019698725,0.7184492351980751,0.7241770715096482,25,DT
0.8273464658169177,0.8272723854945433,0.815365551425031,25,RF
0.8250289687137891,0.8249978516799863,0.8200238379022646,25,SVM
0.52954808806489,0.5293460513878148,0.4297752808988764,25,MLP
0.6778679026651216,0.6776069863366847,0.7372400756143667,26,KNN
0.709154113557358,0.7090959869382143,0.7232635060639471,26,NB
0.6732329084588644,0.6732190427086019,0.6773455377574371,26,DT
0.8203939745075318,0.8204648964509753,0.8088779284833539,26,RF
0.828505214368482,0.8285452651026897,0.8225419664268586,26,SVM
0.7404403244495944,0.7404453467388503,0.7395348837209303,26,MLP
0.6836616454229433,0.6833913379737045,0.7436619718309859,27,KNN
0.7068366164542295,0.7068080261235714,0.7141242937853107,27,NB
0.6674391657010429,0.6674481180716679,0.6651108518086348,27,DT
0.8030127462340672,0.8030903583397784,0.7890818858560794,27,RF
0.8088064889918888,0.8088559121766778,0.8004836759371222,27,SVM
0.6882966396292005,0.6882438558047607,0.7021040974529346,27,MLP
0.6882966396292005,0.6880343946034202,0.7459867799811143,28,KNN
0.7323290845886443,0.7322844160866202,0.7424749163879599,28,NB
0.709154113557358,0.7091040431382658,0.7214206437291898,28,DT
0.8308227114716107,0.8308923047177108,0.8201970443349753,28,RF
0.8412514484356894,0.8412848027842228,0.8367103694874851,28,SVM
0.7439165701042874,0.7438665463607459,0.7547169811320755,28,MLP
0.6709154113557358,0.6706195754919653,0.7380073800738006,29,KNN
0.7149478563151797,0.7148964509753373,0.7272727272727273,29,NB
0.697566628041715,0.6975460814642949,0.7030716723549487,29,DT
0.8053302433371958,0.8054347125547822,0.7862595419847329,29,RF
0.813441483198146,0.8134694294062044,0.8090154211150653,29,SVM
0.7288528389339514,0.7288390478645699,0.7322654462242563,29,MLP
